epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11406,0.54615,0.48004,1.10354,0.90104,0.8857,0.92611,0.78601,0.58508,0.46844,1.09301,0.00492625,0.00492625,0.00492625
43,11677.5,0.54257,0.47955,1.10379,0.9083,0.88047,0.92982,0.78874,0.58062,0.46352,1.08762,0.0048025,0.0048025,0.0048025
44,11949.5,0.53524,0.46821,1.09727,0.91543,0.86533,0.92947,0.78247,0.59348,0.4598,1.10308,0.00467875,0.00467875,0.00467875
45,12221.4,0.53421,0.47562,1.09877,0.91513,0.87173,0.93015,0.78607,0.58203,0.46324,1.0971,0.004555,0.004555,0.004555
46,12493.6,0.53168,0.4621,1.09462,0.9067,0.87393,0.92651,0.78665,0.57625,0.4575,1.09327,0.00443125,0.00443125,0.00443125
47,12765.8,0.53403,0.45873,1.09373,0.9111,0.86598,0.92562,0.78858,0.57809,0.45229,1.09515,0.0043075,0.0043075,0.0043075
48,13038.7,0.53001,0.45852,1.09663,0.90436,0.88052,0.93042,0.79325,0.5713,0.45199,1.08097,0.00418375,0.00418375,0.00418375
49,13310.6,0.5204,0.45155,1.09238,0.91502,0.87215,0.93287,0.79454,0.56988,0.44886,1.07829,0.00406,0.00406,0.00406
50,13582.8,0.51953,0.4469,1.0869,0.88818,0.88935,0.93289,0.79541,0.57332,0.44806,1.07977,0.00393625,0.00393625,0.00393625
51,13854.6,0.51772,0.44241,1.08496,0.89235,0.89002,0.93306,0.79711,0.56994,0.43892,1.07801,0.0038125,0.0038125,0.0038125
52,14126.8,0.51358,0.43754,1.08262,0.91201,0.87568,0.93373,0.7997,0.57159,0.43541,1.08377,0.00368875,0.00368875,0.00368875
53,14399.3,0.51,0.43857,1.08132,0.91897,0.87442,0.93566,0.79983,0.57483,0.43465,1.0854,0.003565,0.003565,0.003565
54,14671.4,0.50877,0.43359,1.08101,0.91455,0.8717,0.9348,0.79881,0.57266,0.43542,1.0836,0.00344125,0.00344125,0.00344125
55,14943.7,0.50735,0.43222,1.07894,0.90467,0.87993,0.93384,0.79937,0.56758,0.43056,1.08022,0.0033175,0.0033175,0.0033175
56,15215.4,0.50055,0.42364,1.07785,0.90785,0.88306,0.93421,0.79971,0.56836,0.42989,1.08098,0.00319375,0.00319375,0.00319375
57,15488,0.49739,0.41848,1.07475,0.91611,0.87726,0.93585,0.80282,0.56156,0.42717,1.07309,0.00307,0.00307,0.00307
58,15760.1,0.49711,0.41642,1.07282,0.9175,0.87735,0.93717,0.80362,0.55917,0.42607,1.06972,0.00294625,0.00294625,0.00294625
59,16031.7,0.49033,0.41403,1.06701,0.90669,0.88911,0.93618,0.8045,0.5599,0.42399,1.07121,0.0028225,0.0028225,0.0028225
60,16303.7,0.49345,0.41254,1.07159,0.903,0.89342,0.93706,0.80518,0.55788,0.42437,1.07019,0.00269875,0.00269875,0.00269875
61,16575.4,0.49186,0.41181,1.07015,0.8919,0.901,0.93692,0.80592,0.55717,0.4249,1.06952,0.002575,0.002575,0.002575
62,16847.3,0.48377,0.40316,1.06664,0.89541,0.89433,0.93569,0.80579,0.55561,0.42263,1.06892,0.00245125,0.00245125,0.00245125
63,17119.4,0.48325,0.4001,1.06308,0.89933,0.89025,0.93549,0.80608,0.55391,0.41858,1.06896,0.0023275,0.0023275,0.0023275
64,17391.2,0.47602,0.39384,1.05943,0.91451,0.88,0.93449,0.80657,0.55368,0.41783,1.06815,0.00220375,0.00220375,0.00220375
65,17662.6,0.47197,0.39557,1.06024,0.88662,0.90595,0.93508,0.80576,0.55429,0.41769,1.06836,0.00208,0.00208,0.00208
66,17934.8,0.47009,0.38939,1.05719,0.89161,0.90146,0.93547,0.8062,0.55531,0.41714,1.06964,0.00195625,0.00195625,0.00195625
67,18206.7,0.46884,0.38515,1.05627,0.89215,0.90308,0.9361,0.80626,0.55446,0.4167,1.0702,0.0018325,0.0018325,0.0018325
68,18478.6,0.46677,0.3829,1.05585,0.92183,0.87503,0.93671,0.80638,0.55521,0.41525,1.07193,0.00170875,0.00170875,0.00170875
